City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
270,Cheb,CZ,1599271856,50.08,12.37,63.0,95,46,3.78
271,Guia Lopes da Laguna,BR,1599271856,-21.46,-56.11,75.42,39,0,3.31
272,Zhuhai,CN,1599271856,22.28,113.57,84.0,83,40,8.05
273,Drexel Heights,US,1599271857,32.14,-111.03,105.8,10,1,6.93
274,Yar-Sale,RU,1599271857,66.83,70.83,41.58,83,14,11.72
275,Flinders,AU,1599271857,-34.58,150.86,70.0,40,0,7.0
276,Namtsy,RU,1599271858,62.72,129.67,62.6,55,0,4.47
277,Nurota,UZ,1599271858,40.56,65.69,66.2,45,0,6.93
278,Tautira,PF,1599271576,-17.73,-149.15,84.2,62,40,14.99
279,Kibala,TD,1599271859,9.11,18.35,71.58,96,100,1.3
280,Touros,BR,1599271859,-5.2,-35.46,71.6,88,20,3.36
281,Channel-Port aux Basques,CA,1599271860,47.57,-59.14,62.56,91,65,5.66
282,Saint Anthony,US,1599271601,45.02,-93.22,68.0,55,1,2.21
283,Kavieng,PG,1599271860,-2.57,150.8,84.04,75,100,12.71
284,Marfino,RU,1599271861,55.7,37.38,61.0,58,100,4.47
285,Ellensburg,US,1599271861,47.0,-120.55,91.4,21,20,3.89
286,Auki,SB,1599271861,-8.77,160.7,86.68,64,2,5.35
287,Souillac,MU,1599271862,-20.52,57.52,66.2,88,75,17.22
288,Geraldton,AU,1599271862,-28.77,114.6,60.8,77,0,4.7
289,Berdigestyakh,RU,1599271863,62.1,126.7,63.68,59,3,5.28
290,Garoowe,SO,1599271863,8.41,48.48,72.88,65,0,22.91
291,Zhaotong,CN,1599271863,27.32,103.72,66.25,83,100,1.77
292,Maceió,BR,1599271864,-9.67,-35.74,71.6,88,40,3.36
293,Atasū,KZ,1599271864,48.68,71.64,46.94,58,98,6.42
294,Saldanha,ZA,1599271864,-33.01,17.94,55.4,93,62,3.36
295,Primorka,RU,1599271865,47.28,39.06,70.32,31,100,17.18
296,Santa Clara,CU,1599271865,22.4,-79.97,80.6,88,20,8.05
297,Son La,VN,1599271865,21.32,103.9,83.03,68,25,0.11
298,Gnojnica,BA,1599271866,44.62,18.45,48.2,93,0,1.12
299,Vangaindrano,MG,1599271866,-23.35,47.6,62.71,84,81,7.63
300,Fortuna,US,1599271867,40.6,-124.16,68.0,59,1,11.41
301,Port Hardy,CA,1599271868,50.7,-127.42,62.6,82,40,2.24
302,Port Macquarie,AU,1599271868,-31.43,152.92,75.0,71,99,1.99
303,Vilyuysk,RU,1599271868,63.76,121.62,55.63,85,98,3.91
304,Klaksvík,FO,1599271869,62.23,-6.59,46.4,93,100,25.28
305,Krotovka,RU,1599271869,53.29,51.17,45.21,76,0,6.69
306,Dolzhanskaya,RU,1599271870,46.63,37.8,72.0,100,49,25.99
307,Caceres,ES,1599271870,39.52,-6.37,73.0,39,0,1.41
308,Kamenka,RU,1599271870,51.32,42.77,46.99,73,86,8.7
309,Fengcheng,CN,1599271871,40.45,124.07,72.91,73,1,8.72
310,Qeshm,IR,1599271616,26.96,56.27,82.4,61,5,6.93
311,Katsuura,JP,1599271871,35.13,140.3,87.01,79,75,4.7
312,Anadyr,RU,1599271872,64.75,177.48,48.2,61,75,6.71
313,Dhidhdhoo,MV,1599271872,6.88,73.1,82.42,80,89,15.84
314,Egham,GB,1599271872,51.43,-0.55,55.4,93,49,6.93
315,Mbandaka,CD,1599271873,0.05,18.26,71.37,81,55,3.18
316,Prado,BR,1599271873,-17.34,-39.22,71.44,85,42,4.9
317,Srandakan,ID,1599271874,-7.94,110.25,82.26,62,21,11.52
318,Piteå,SE,1599271874,65.32,21.48,55.4,93,68,5.82
319,Ust-Tsilma,RU,1599271875,65.44,52.15,46.54,92,1,5.75
320,Almaznyy,RU,1599271875,48.04,40.05,68.0,30,100,17.9
321,Kurovskoye,RU,1599271875,55.58,38.91,57.2,81,99,6.71
322,Ouahigouya,BF,1599271876,13.58,-2.42,78.93,77,98,6.17
323,Bemidji,US,1599271800,47.47,-94.88,55.4,76,1,3.36
324,Samarai,PG,1599271876,-10.62,150.67,78.39,86,80,13.4
325,Salalah,OM,1599271877,17.02,54.09,78.8,83,75,3.36
326,Sørland,NO,1599271877,67.67,12.69,54.95,84,13,12.3
327,Tazovsky,RU,1599271877,67.47,78.7,41.18,79,0,19.06
328,Dongsheng,CN,1599271878,39.82,109.98,72.48,22,87,13.98
329,Abu Dhabi,AE,1599271689,24.47,54.37,87.8,79,0,8.05
330,Santiago,CL,1599271653,-33.46,-70.65,51.01,81,13,11.41
331,Verkhniy Lomov,RU,1599271878,53.47,43.55,50.65,76,100,4.88
332,Bokaro Steel City,IN,1599271879,23.78,85.97,84.25,72,5,3.94
